algorithm,file,nP,nQ,P3,R3,TLF1
COSIATEC,bach_wtc2f20_COSIATEC,3,30,0.1104,0.5766,0.1853
COSIATEC,beet_sonata01-3_COSIATEC,7,23,0.0988,0.1978,0.1318
COSIATEC,chop_mazurka24-4_COSIATEC,4,45,0.0329,0.2904,0.0591
COSIATEC,gbns_silverswan_COSIATEC,4,16,0.1064,0.2009,0.1391
COSIATEC,mzrt_sonata04-2_COSIATEC,9,23,0.1477,0.3725,0.2116
COSIATEC-MIN-3,bach_wtc2f20_COSIATEC-MIN-3,3,27,0.1144,0.5766,0.1909
COSIATEC-MIN-3,beet_sonata01-3_COSIATEC-MIN-3,7,23,0.1204,0.2453,0.1615
COSIATEC-MIN-3,chop_mazurka24-4_COSIATEC-MIN-3,4,38,0.0416,0.2904,0.0728
COSIATEC-MIN-3,gbns_silverswan_COSIATEC-MIN-3,4,14,0.1242,0.2138,0.1571
COSIATEC-MIN-3,mzrt_sonata04-2_COSIATEC-MIN-3,9,23,0.1548,0.3731,0.2188
COSIATEC-MIN-4,bach_wtc2f20_COSIATEC-MIN-4,3,23,0.1376,0.6104,0.2246
COSIATEC-MIN-4,beet_sonata01-3_COSIATEC-MIN-4,7,22,0.1354,0.2582,0.1776
COSIATEC-MIN-4,chop_mazurka24-4_COSIATEC-MIN-4,4,35,0.0453,0.2904,0.0783
COSIATEC-MIN-4,gbns_silverswan_COSIATEC-MIN-4,4,12,0.1328,0.2169,0.1647
COSIATEC-MIN-4,mzrt_sonata04-2_COSIATEC-MIN-4,9,23,0.1660,0.3771,0.2305
